PhraseId	SentenceId	Phrase	Sentiment
2453	94	Writer\/director Burr Steers emphasizes the Q in Quirky , with mixed results .	3
2454	94	Writer\/director Burr Steers	2
2455	94	Writer\/director	2
2456	94	Burr Steers	2
2457	94	Burr	2
2458	94	Steers	2
2459	94	emphasizes the Q in Quirky , with mixed results .	1
2460	94	emphasizes the Q in Quirky , with mixed results	2
2461	94	emphasizes the Q in Quirky ,	2
2462	94	emphasizes the Q in Quirky	2
2463	94	emphasizes	2
2464	94	the Q in Quirky	3
2465	94	the Q	2
2466	94	Q	2
2467	94	in Quirky	2
2468	94	Quirky	2
2469	94	with mixed results	2
2470	94	mixed results	1
2471	94	mixed	2
2472	94	results	2
